# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 171843223703
#
# Overhead       Samples  Symbol                                        Source:Line                                                                                  IPC   [IPC Coverage]
# ........  ............  ............................................  ...........................................................................................  ....................
#
     0.07%             5  [.] get_io_u                                  /home/zebin/fio/os/../file.h:188                                                             -      -            
     0.07%             5  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1156                         -      -            
     0.07%             5  [.] __get_io_u                                /home/zebin/fio/io_u.c:1590                                                                  -      -            
     0.07%             5  [.] nvme_transport_qpair_submit_request       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_transport.c:591                                      -      -            
     0.07%             5  [.] spdk_nvme_ns_get_md_size                  /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_ns.c:319                                             -      -            
     0.07%             5  [.] get_io_u                                  /home/zebin/fio/io_u.c:1315                                                                  -      -            
     0.07%             5  [.] add_slat_sample                           /home/zebin/fio/stat.c:3357                                                                  -      -            
     0.07%             5  [.] get_io_u                                  /home/zebin/fio/io_u.c:1813                                                                  -      -            
     0.07%             5  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:896                                    -      -            
     0.07%             5  [.] _nvme_qpair_complete_abort_queued_reqs    /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:551                                          -      -            
     0.07%             5  [.] get_next_rand_offset                      /home/zebin/fio/io_u.c:71                                                                    -      -            
     0.07%             5  [.] get_io_u                                  /home/zebin/fio/io_u.c:536                                                                   -      -            
     0.07%             5  [.] td_io_queue                               /home/zebin/fio/ioengines.c:441                                                              -      -            
     0.07%             5  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_internal.h:257                                       -      -            
     0.07%             5  [.] _nvme_qpair_submit_request                /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:952                                          -      -            
     0.07%             5  [.] spdk_fio_event                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1117                         -      -            
     0.07%             5  [.] io_completed                              /home/zebin/fio/io_u.c:2020                                                                  -      -            
     0.07%             5  [.] nvme_pcie_qpair_submit_tracker            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:647                                    -      -            
     0.07%             5  [.] io_u_mark_depth                           /home/zebin/fio/io_u.c:1044                                                                  -      -            
     0.07%             5  [.] td_io_queue                               /home/zebin/fio/ioengines.c:357                                                              -      -            
     0.07%             5  [.] io_u_queued                               /home/zebin/fio/io_u.c:2174                                                                  -      -            
     0.07%             5  [.] put_file_log                              /home/zebin/fio/io_u.c:792                                                                   -      -            
     0.07%             5  [.] thread_main                               /home/zebin/fio/backend.c:988                                                                -      -            
     0.07%             5  [.] nvme_pcie_qpair_submit_tracker            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:624                                    -      -            
     0.07%             5  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1039                         -      -            
     0.07%             5  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_internal.h:252                                  -      -            
     0.07%             5  [.] put_io_u                                  /home/zebin/fio/io_u.c:800                                                                   -      -            
     0.07%             5  [.] get_file                                  /home/zebin/fio/filesetup.c:1887                                                             -      -            
     0.07%             5  [.] thread_main                               /home/zebin/fio/backend.c:602                                                                -      -            
     0.07%             5  [.] td_io_prep                                /home/zebin/fio/ioengines.c:268                                                              -      -            
     0.07%             5  [.] put_file_log                              /home/zebin/fio/io_u.c:788                                                                   -      -            
     0.07%             5  [.] __get_io_u                                /home/zebin/fio/io_u.c:1589                                                                  -      -            
     0.07%             5  [.] io_completed                              /home/zebin/fio/io_u.c:2022                                                                  -      -            
     0.07%             5  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2089                                                                  -      -            
     0.07%             5  [.] td_io_queue                               /home/zebin/fio/ioengines.c:376                                                              -      -            
     0.07%             5  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2084                                                                  -      -            
     0.07%             5  [.] _nvme_ns_cmd_rw                           /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_internal.h:257                                       -      -            
     0.07%             5  [.] 0x0000000000044910                        spdk_nvme[44910]                                                                             -      -            
     0.07%             5  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:703                                    -      -            
     0.07%             5  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:955                                    -      -            
     0.07%             5  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:745                                          -      -            
     0.07%             5  [.] thread_main                               /home/zebin/fio/backend.c:778                                                                -      -            
     0.07%             5  [.] get_io_u                                  /home/zebin/fio/io_u.c:953                                                                   -      -            
     0.07%             5  [.] thread_main                               /home/zebin/fio/backend.c:1114                                                               -      -            
     0.07%             5  [.] flow_threshold_exceeded                   /home/zebin/fio/flow.c:18                                                                    -      -            
     0.07%             5  [.] nvme_transport_qpair_process_completions  /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_transport.c:601                                      -      -            
     0.07%             5  [.] spdk_nvme_ns_cmd_read_with_md             /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_ns_cmd.c:645                                         -      -            
     0.06%             4  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1165                         -      -            
     0.06%             4  [.] account_io_completion                     /home/zebin/fio/io_u.c:1905                                                                  -      -            
     0.06%             4  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_internal.h:269                                  -      -            
     0.06%             4  [.] td_io_getevents                           /home/zebin/fio/ioengines.c:310                                                              -      -            
     0.06%             4  [.] spdk_fio_completion_cb                    /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:940                          -      -            
     0.06%             4  [.] add_clat_sample                           /home/zebin/fio/stat.c:3350                                                                  -      -            
     0.06%             4  [.] get_io_u                                  /home/zebin/fio/io_u.c:779                                                                   -      -            
     0.06%             4  [.] put_io_u                                  /home/zebin/fio/io_u.c:806                                                                   -      -            
